user,item,Time
10280,7741,"03 5, 2016"
6077,601,"05 10, 2015"
12709,3482,"12 6, 2014"
11122,6526,"04 18, 2016"
8049,961,"08 30, 2015"
3170,1979,"08 15, 2015"
10752,7042,"04 12, 2015"
7529,10125,"09 23, 2013"
4567,14052,"05 30, 2015"
12612,6740,"03 8, 2014"
534,1820,"04 24, 2013"
7534,11011,"01 20, 2014"
11795,8288,"08 9, 2016"
12063,13619,"04 16, 2015"
1829,1247,"07 7, 2017"
1346,7379,"02 25, 2011"
2512,13129,"05 17, 2009"
2435,5463,"10 24, 2014"
8203,10966,"09 18, 2017"
11593,11182,"05 15, 2016"
12635,9646,"09 3, 2014"
5643,7381,"12 15, 2015"
13225,9228,"09 4, 2013"
7175,9276,"07 30, 2016"
3009,8259,"08 23, 2015"
5255,9317,"07 4, 2015"
6418,2534,"07 13, 2014"
12000,13876,"07 18, 2014"
1851,11911,"11 23, 2015"
12101,4263,"09 13, 2013"
1927,11376,"11 21, 2014"
10746,8679,"10 25, 2016"
3673,11037,"07 4, 2013"
14150,5666,"09 23, 2013"
13809,6443,"11 23, 2011"
12484,4843,"09 5, 2013"
7420,4385,"12 27, 2013"
15042,14499,"12 14, 2017"
13857,7044,"11 14, 2016"
5832,2242,"07 24, 2013"
14762,14545,"02 13, 2018"
5005,8928,"03 24, 2013"
3381,13843,"07 17, 2015"
8314,12147,"08 4, 2016"
7185,5035,"04 28, 2018"
13766,14708,"04 3, 2015"
7301,11160,"06 18, 2014"
1434,3988,"03 24, 2012"
2814,410,"09 4, 2013"
3128,15185,"08 29, 2016"
1566,3105,"02 14, 2015"
1155,57,"07 13, 2013"
12201,13530,"04 26, 2018"
7729,13488,"06 10, 2017"
11775,13655,"11 12, 2016"
4538,1857,"10 31, 2008"
12830,5634,"03 7, 2014"
13922,14076,"01 6, 2016"
13420,9582,"10 26, 2016"
13382,10452,"10 21, 2016"
6590,1058,"03 8, 2017"
2004,2788,"06 21, 2013"
7390,11128,"08 4, 2015"
275,7619,"04 15, 2013"
2757,8746,"07 14, 2015"
5001,385,"11 22, 2010"
7810,909,"12 6, 2016"
3381,1063,"04 12, 2016"
6633,4905,"03 19, 2017"
8281,13112,"10 22, 2013"
12440,13685,"06 12, 2017"
10358,10365,"04 13, 2013"
3525,1243,"07 1, 2017"
11860,7591,"03 8, 2014"
4850,3003,"07 5, 2014"
14241,14185,"04 1, 2017"
14821,7696,"06 9, 2015"
4644,4383,"07 9, 2013"
12519,3362,"08 25, 2017"
918,12234,"11 8, 2015"
1762,1762,"06 30, 2014"
5889,4361,"04 16, 2013"
1165,1700,"09 4, 2015"
12939,4114,"04 17, 2015"
5400,1509,"06 28, 2013"
13297,14166,"07 29, 2015"
14967,11354,"12 28, 2017"
6578,1456,"02 13, 2017"
8193,12634,"12 25, 2016"
13708,5465,"05 4, 2015"
1879,729,"12 5, 2013"
1962,116,"09 27, 2009"
8317,14447,"04 16, 2018"
10723,6485,"10 4, 2013"
9652,5232,"09 24, 2016"
13128,13646,"12 2, 2014"
9662,4174,"01 26, 2018"
12242,342,"04 4, 2017"
6642,1450,"02 23, 2014"
11227,13659,"10 5, 2017"
2079,9251,"04 8, 2015"
13020,14186,"06 8, 2016"
5523,4659,"06 1, 2011"
4252,4927,"02 19, 2018"
13169,12518,"07 27, 2017"
703,743,"02 23, 2014"
3531,12418,"09 7, 2017"
2332,7198,"04 19, 2011"
8345,3477,"12 29, 2016"
8503,14526,"01 29, 2018"
13427,12789,"03 14, 2017"
6705,6229,"12 17, 2017"
14027,13900,"08 27, 2017"
12149,11470,"12 19, 2014"
12415,10562,"10 16, 2014"
238,994,"01 30, 2016"
1075,3197,"10 9, 2014"
2257,1724,"02 22, 2016"
3998,2277,"02 11, 2003"
6868,4919,"05 5, 2016"
7515,10091,"12 10, 2014"
11918,5193,"07 26, 2016"
7136,5985,"03 6, 2016"
6544,8038,"09 10, 2014"
736,14836,"12 30, 2010"
6552,919,"04 24, 2015"
3410,1737,"02 3, 2016"
4276,10896,"08 30, 2017"
8052,7785,"11 29, 2014"
7668,10043,"04 30, 2013"
11634,13308,"08 15, 2016"
6342,1654,"07 14, 2014"
12087,14210,"11 13, 2016"
7208,816,"08 22, 2016"
1659,6658,"03 19, 2011"
5070,4047,"01 9, 2017"
7613,11463,"01 15, 2018"
11445,6227,"11 5, 2017"
560,7412,"05 19, 2017"
13659,12204,"01 27, 2017"
7701,3120,"03 4, 2014"
3063,4924,"12 19, 2014"
7501,11868,"03 23, 2016"
275,7355,"11 3, 2012"
13750,8056,"05 28, 2014"
4655,2561,"01 26, 2014"
14536,6018,"01 12, 2012"
136,2927,"08 10, 2016"
6754,1992,"12 24, 2014"
856,1870,"09 26, 2011"
6380,4919,"11 8, 2013"
5592,212,"04 21, 2018"
13178,12336,"10 30, 2016"
2082,1425,"07 30, 2017"
2033,3603,"10 12, 2017"
4437,9317,"09 14, 2015"
14689,11458,"08 17, 2016"
10857,4402,"05 7, 2014"
1723,1950,"10 28, 2010"
14672,10419,"04 22, 2014"
10640,7102,"04 14, 2013"
1295,1696,"04 25, 2000"
869,13723,"07 31, 2014"
3342,13439,"10 24, 2017"
11568,14752,"05 22, 2017"
6604,4224,"01 3, 2017"
1448,4588,"02 12, 2007"
31,10554,"06 5, 2013"
9137,13944,"05 14, 2015"
7402,13616,"07 4, 2014"
3365,11431,"09 4, 2014"
13870,6430,"05 27, 2017"
10388,4237,"03 10, 2016"
4339,11592,"05 9, 2015"
10470,13724,"05 1, 2013"
2073,5027,"07 20, 2014"
3894,2988,"07 24, 2016"
1379,4798,"09 26, 2012"
7589,5605,"09 6, 2014"
12743,7828,"05 2, 2013"
14386,8384,"04 16, 2017"
12619,11741,"08 8, 2015"
6241,11165,"05 22, 2016"
1000,5487,"07 19, 2015"
1964,1548,"06 5, 2010"
4488,12355,"08 3, 2017"
3568,9394,"03 20, 2016"
1572,8891,"08 22, 2011"
7638,7872,"02 24, 2016"
5078,4189,"01 30, 2018"
6274,3543,"06 2, 2014"
2070,2407,"02 13, 2014"
2579,9061,"05 29, 2012"
12881,5925,"05 3, 2017"
141,2350,"06 12, 2014"
6590,4503,"04 28, 2014"
8209,7010,"07 30, 2016"
527,9926,"02 9, 2013"
363,518,"08 30, 2010"
3554,2106,"10 4, 2012"
1721,2202,"07 23, 2015"
10633,6407,"01 23, 2013"
5668,10305,"05 17, 2014"
15086,12082,"08 31, 2017"
10474,13523,"06 21, 2016"
11641,9023,"04 20, 2016"
3980,13176,"12 27, 2013"
6465,2094,"03 1, 2013"
15247,12377,"01 31, 2016"
1978,9417,"03 5, 2017"
12246,14228,"11 12, 2015"
3745,605,"05 19, 2016"
15165,8592,"07 15, 2017"
7803,904,"05 1, 2017"
12956,6909,"08 15, 2015"
13791,8477,"04 10, 2017"
13446,6338,"09 8, 2013"
14973,14751,"11 3, 2016"
4767,7998,"12 20, 2013"
3577,10156,"08 25, 2013"
10736,8718,"02 5, 2015"
993,3964,"12 30, 2004"
14746,10252,"02 17, 2015"
3074,13171,"02 27, 2016"
98,1782,"08 3, 2012"
3770,2476,"04 5, 2009"
3283,184,"02 4, 2015"
3526,10013,"04 30, 2016"
13969,11289,"05 26, 2014"
5129,5325,"06 27, 2016"
7489,15142,"06 26, 2017"
8760,2350,"08 28, 2011"
5891,6227,"09 29, 2017"
3077,9942,"01 23, 2018"
6727,14460,"11 4, 2017"
3232,1403,"08 16, 2015"
4804,351,"08 17, 2013"
13346,11051,"01 30, 2014"
7381,13904,"05 15, 2013"
15164,12118,"06 22, 2015"
10505,3700,"09 17, 2013"
7642,10381,"06 26, 2013"
10447,5642,"12 23, 2012"
6494,9626,"10 29, 2017"
10202,10064,"12 4, 2014"
977,1155,"02 28, 2008"
926,8595,"01 4, 2017"
4640,3702,"03 5, 2007"
13557,9454,"01 18, 2016"
947,13209,"11 20, 2015"
911,2818,"04 9, 2002"
5304,11513,"03 11, 2016"
3785,9252,"08 26, 2016"
9788,6649,"07 13, 2015"
4359,923,"06 15, 2016"
14694,13673,"08 13, 2016"
6590,12820,"02 8, 2017"
5945,9745,"06 12, 2013"
3958,7365,"09 25, 2014"
8967,7151,"01 3, 2017"
2440,14860,"05 11, 2017"
4531,519,"01 23, 2009"
13023,12742,"12 1, 2016"
2305,142,"08 1, 2009"
7739,900,"01 29, 2015"
15108,12689,"10 10, 2016"
5959,844,"11 17, 2014"
14334,10138,"12 21, 2015"
14445,5949,"03 7, 2017"
7488,12854,"02 25, 2017"
10665,1998,"11 28, 2011"
5081,6948,"10 20, 2017"
431,150,"08 14, 2013"
15253,12042,"03 7, 2017"
13617,10296,"03 18, 2014"
12218,14428,"09 17, 2017"
8253,1083,"09 30, 2016"
12969,12590,"02 4, 2017"
9573,14169,"03 31, 2016"
7511,9561,"09 28, 2013"
10980,13424,"03 7, 2017"
3359,11539,"01 17, 2015"
13258,12794,"01 29, 2017"
14232,11532,"09 30, 2014"
9238,10371,"01 28, 2014"
15011,14540,"02 16, 2018"
9686,1472,"08 5, 2014"
10335,1811,"01 23, 2018"
11989,3184,"04 4, 2015"
3000,4873,"11 28, 2011"
6665,4411,"05 22, 2014"
3009,6373,"08 18, 2011"
15139,14402,"08 23, 2017"
2740,8813,"02 8, 2014"
7068,3112,"02 28, 2015"
13553,11593,"04 20, 2015"
15157,14291,"10 8, 2017"
12208,8628,"01 2, 2018"
4235,4950,"08 10, 2013"
13725,14181,"11 16, 2016"
12616,9915,"04 28, 2013"
7637,9874,"03 17, 2013"
6964,9843,"01 30, 2014"
1879,1567,"07 12, 2013"
7518,13904,"11 10, 2013"
7494,7944,"10 10, 2016"
7570,11423,"07 8, 2014"
8134,15018,"03 9, 2015"
12374,8239,"09 24, 2014"
9182,5584,"07 30, 2015"
5980,9468,"01 10, 2011"
3688,2172,"10 17, 2009"
10612,13097,"01 13, 2016"
3554,1093,"09 27, 2017"
12008,10068,"09 6, 2014"
8264,12289,"04 2, 2016"
15332,14731,"04 9, 2017"
14322,6092,"01 1, 2015"
3366,10836,"07 31, 2013"
5629,4797,"07 9, 2015"
291,46,"05 3, 2006"
13042,4190,"12 23, 2017"
37,2926,"04 10, 2004"
7500,8925,"08 11, 2016"
14017,7459,"11 21, 2014"
13338,11760,"01 25, 2015"
13543,12055,"11 7, 2017"
9070,4407,"04 3, 2013"
10106,1865,"05 15, 2015"
14462,11485,"12 13, 2014"
14445,7501,"05 25, 2016"
3941,428,"07 7, 2015"
9967,3907,"07 28, 2015"
5530,4038,"08 29, 2014"
4328,5230,"01 24, 2018"
11023,2234,"03 6, 2016"
6155,11851,"04 4, 2015"
5508,3709,"01 3, 2014"
967,2785,"01 11, 2009"
7048,13307,"11 14, 2016"
8042,14554,"03 13, 2018"
2032,5577,"01 28, 2015"
7226,8873,"03 4, 2016"
12932,3917,"04 18, 2014"
1273,1351,"12 8, 2000"
2343,6308,"02 6, 2016"
3563,8060,"05 9, 2015"
8623,2885,"07 31, 2017"
721,3322,"03 5, 2016"
5181,11642,"01 28, 2018"
9866,7789,"07 19, 2014"
6348,759,"07 7, 2013"
3362,7287,"08 25, 2014"
2631,12104,"06 18, 2015"
3391,4009,"12 25, 2012"
9255,2500,"05 22, 2015"
4630,4251,"01 12, 2016"
1436,654,"09 7, 2013"
8230,12839,"02 20, 2017"
1762,6052,"06 10, 2011"
3571,10080,"04 26, 2014"
9668,6165,"08 31, 2015"
2494,2985,"12 23, 2010"
6979,2022,"01 18, 2013"
6535,13125,"07 11, 2011"
5863,4885,"04 8, 2012"
9363,6897,"09 29, 2013"
15289,14198,"02 25, 2018"
10793,7012,"03 23, 2017"
10322,1812,"12 20, 2017"
3069,469,"04 4, 2014"
4606,5540,"02 5, 2018"
4648,5729,"06 9, 2015"
1045,13262,"09 20, 2016"
98,2854,"07 5, 2012"
14199,5634,"06 24, 2013"
15290,11470,"03 18, 2018"
13170,11368,"03 9, 2017"
9864,5381,"08 1, 2014"
12910,6430,"06 16, 2015"
4084,260,"08 23, 2004"
2032,7490,"08 5, 2014"
11227,10772,"01 30, 2017"
8114,11160,"01 26, 2014"
12943,9859,"06 7, 2016"
13590,11886,"01 20, 2015"
14622,7084,"04 26, 2015"
6140,9228,"08 16, 2012"
9599,13111,"07 6, 2013"
12274,12789,"03 15, 2017"
5326,5211,"10 14, 2017"
10459,10298,"09 17, 2013"
4786,345,"10 22, 2013"
11097,5943,"09 3, 2016"
1976,2405,"04 6, 2010"
11370,4551,"12 6, 2017"
12200,14634,"09 12, 2017"
1461,1412,"01 4, 2016"
10814,3584,"09 8, 2017"
4767,10240,"08 29, 2014"
14545,6421,"07 13, 2016"
2268,10119,"08 4, 2015"
8962,3804,"12 3, 2017"
8711,5993,"01 24, 2015"
5834,15216,"03 3, 2016"
1357,2091,"07 20, 2013"
14581,2241,"10 12, 2016"
6402,9125,"10 8, 2013"
10064,3762,"01 15, 2017"
5493,464,"07 5, 2016"
4167,3707,"08 12, 2015"
7518,10867,"08 19, 2013"
11153,12055,"02 5, 2016"
8288,11406,"06 15, 2014"
4504,10040,"01 12, 2016"
4027,605,"11 23, 2014"
15246,12687,"10 8, 2016"
10575,11632,"02 22, 2017"
10972,7169,"08 9, 2016"
1724,446,"03 13, 2007"
11272,9012,"01 31, 2016"
4636,1614,"10 11, 2016"
2739,15228,"08 8, 2017"
14193,13382,"02 12, 2015"
13222,4431,"02 2, 2014"
13383,13528,"02 1, 2018"
5458,5094,"02 14, 2017"
12517,3359,"01 29, 2015"
6058,1647,"10 24, 2017"
5481,465,"01 30, 2015"
2853,10107,"11 29, 2015"
586,605,"11 5, 2015"
3349,11054,"02 25, 2018"
11732,5512,"05 11, 2015"
1042,14885,"10 9, 2016"
4764,7923,"01 5, 2014"
6253,587,"04 17, 2014"
13625,12152,"08 28, 2015"
13788,14150,"02 15, 2017"
6657,5669,"05 27, 2014"
11297,2430,"03 12, 2017"
13059,14065,"04 19, 2016"
10359,1811,"01 6, 2015"
9366,1340,"04 5, 2013"
5519,9368,"12 1, 2012"
7185,9209,"09 12, 2017"
5307,11558,"10 5, 2015"
788,5762,"08 11, 2000"
1659,12348,"02 20, 2015"
1851,6661,"02 27, 2015"
2618,1374,"10 13, 2014"
6672,8244,"10 28, 2015"
549,5735,"05 3, 2013"
14672,14842,"11 30, 2017"
339,363,"02 24, 2018"
568,2176,"11 11, 2002"
3970,12688,"11 15, 2016"
2558,2204,"02 9, 2015"
13562,11227,"01 21, 2014"
7604,11231,"10 9, 2014"
8253,12455,"04 24, 2016"
5164,755,"01 15, 2015"
6332,7767,"10 19, 2013"
6417,5174,"07 5, 2015"
5685,11661,"12 5, 2017"
797,5471,"07 14, 2017"
10038,6002,"07 18, 2016"
4532,4011,"01 19, 2014"
4503,12164,"05 17, 2017"
6808,12212,"08 3, 2016"
6572,8751,"02 12, 2015"
5940,2977,"07 17, 2014"
1137,9276,"11 21, 2015"
225,15097,"09 15, 2012"
3362,849,"08 25, 2014"
7866,14166,"01 16, 2016"
2347,6315,"07 6, 2013"
5555,6845,"11 29, 2013"
7182,804,"08 24, 2014"
2992,9096,"05 22, 2015"
250,1829,"02 2, 2018"
2425,6979,"01 29, 2017"
1798,13226,"03 18, 2015"
3366,12242,"09 24, 2015"
3971,6818,"07 29, 2016"
11917,13428,"01 25, 2018"
14294,13823,"02 22, 2015"
2757,7255,"06 26, 2015"
8840,3798,"01 9, 2017"
11100,8700,"02 27, 2014"
5207,2453,"11 26, 2013"
6975,7583,"08 17, 2014"
112,2061,"03 19, 2016"
12675,11953,"01 4, 2015"
3382,5270,"02 25, 2014"
1945,116,"06 5, 2012"
8136,14620,"07 30, 2017"
98,262,"12 7, 2012"
3438,7088,"11 2, 2016"
3972,1034,"02 8, 2017"
7011,10296,"04 1, 2014"
6311,3703,"05 23, 2012"
6804,10191,"10 8, 2014"
10517,10061,"04 20, 2013"
15304,14776,"01 2, 2017"
8172,10452,"07 24, 2017"
13687,7837,"01 8, 2014"
12520,11165,"09 3, 2015"
3696,6905,"12 15, 2017"
2739,10706,"08 8, 2017"
6590,14949,"12 11, 2013"
3345,10870,"10 3, 2013"
430,9269,"08 24, 2015"
9913,4251,"08 26, 2014"
5858,547,"05 9, 2014"
2576,13776,"04 13, 2017"
12429,7717,"12 6, 2016"
7351,1688,"08 14, 2015"
2874,150,"10 18, 2013"
7556,10045,"12 27, 2012"
3093,400,"12 23, 2014"
582,5252,"09 23, 2015"
7645,11131,"01 19, 2014"
615,13238,"08 1, 2014"
6670,11391,"06 12, 2016"
10935,3596,"04 23, 2017"
1266,5783,"09 13, 2005"
12292,5323,"02 18, 2013"
7359,5016,"10 28, 2015"
5313,13716,"06 9, 2015"
12719,14076,"11 26, 2015"
1116,14845,"09 5, 2014"
271,8676,"07 5, 2009"
10834,6099,"07 13, 2016"
14570,7026,"01 6, 2018"
4588,3572,"03 1, 2010"
10522,3096,"05 24, 2015"
15178,11459,"12 8, 2014"
2074,4974,"12 27, 2012"
5328,2134,"11 16, 2013"
10979,8886,"03 10, 2014"
60,15131,"07 17, 2014"
9874,5474,"06 14, 2016"
11872,13537,"08 30, 2016"
9546,11632,"01 9, 2016"
4366,5004,"04 8, 2013"
6040,3273,"01 1, 2013"
7110,6770,"04 2, 2015"
8044,12611,"12 5, 2016"
1385,13782,"10 25, 2014"
10909,11296,"04 23, 2014"
58,14941,"12 20, 2015"
6467,10887,"03 17, 2017"
14576,7138,"03 1, 2016"
2603,1939,"07 29, 2014"
7889,1414,"07 18, 2014"
2730,12138,"08 29, 2015"
1887,6966,"02 12, 2015"
4314,2580,"11 11, 2014"
7518,13619,"02 5, 2014"
7373,11973,"05 21, 2015"
8209,7353,"03 27, 2015"
3491,3802,"04 24, 2018"
8264,13923,"08 31, 2016"
7663,3905,"02 6, 2010"
66,8821,"09 2, 2013"
67,151,"12 31, 2014"
10035,1666,"06 17, 2014"
5462,13539,"03 29, 2016"
1672,1156,"05 22, 2017"
1088,2648,"02 25, 2016"
2033,7341,"12 17, 2013"
2145,3816,"11 17, 2013"
287,1261,"06 21, 2007"
6417,2465,"03 4, 2014"
10352,1815,"10 24, 2017"
7401,11051,"07 11, 2014"
12474,7189,"03 3, 2015"
4108,2584,"08 11, 2016"
14852,12029,"07 21, 2016"
13132,11569,"09 9, 2014"
4843,1762,"12 3, 2014"
8192,7511,"04 4, 2014"
1550,7752,"01 16, 2014"
260,8815,"02 9, 2015"
5304,7906,"04 15, 2016"
8042,13596,"02 20, 2017"
10975,9607,"01 31, 2015"
3648,2335,"06 1, 2016"
5726,4149,"12 22, 2017"
16,15131,"02 28, 2011"
7413,14644,"11 15, 2017"
8092,8855,"07 13, 2014"
8134,3241,"04 27, 2016"
6811,5512,"06 1, 2016"
5506,8972,"08 7, 2014"
8302,11341,"11 7, 2014"
7671,12361,"01 5, 2016"
2887,9895,"05 4, 2015"
2736,1782,"04 16, 2018"
6411,2514,"05 19, 2014"
13514,10279,"02 12, 2017"
13197,9633,"10 4, 2016"
3977,517,"03 22, 2013"
4667,4601,"09 2, 2008"
5692,2940,"10 27, 2015"
11470,5552,"04 28, 2018"
5882,4946,"04 3, 2014"
7652,13599,"08 6, 2015"
10326,9491,"06 10, 2014"
5501,4477,"08 13, 2016"
4794,2197,"07 5, 2012"
4998,1305,"06 1, 2015"
4804,6739,"11 14, 2013"
13412,12960,"07 26, 2017"
13778,10622,"07 17, 2013"
5840,2322,"08 24, 2014"
4398,11871,"09 15, 2015"
7954,14941,"07 23, 2016"
5940,7411,"02 28, 2012"
11443,4402,"12 5, 2013"
13584,11071,"01 8, 2014"
12531,6883,"09 16, 2017"
12946,6904,"08 4, 2017"
4579,5478,"03 26, 2015"
6866,9317,"02 25, 2017"
8504,3219,"07 24, 2016"
3973,9828,"01 4, 2017"
7848,6080,"03 14, 2016"
7989,3191,"06 7, 2014"
7537,10855,"08 16, 2013"
6432,1070,"11 28, 2017"
12913,8352,"06 2, 2017"
3113,176,"11 28, 2015"
582,2074,"04 5, 2013"
13720,14655,"01 11, 2014"
12164,8486,"10 11, 2017"
14798,8174,"12 1, 2013"
10724,11048,"02 8, 2016"
14154,5616,"08 7, 2013"
207,39,"01 11, 2015"
248,2513,"07 23, 2011"
103,2892,"05 23, 2015"
12215,3869,"12 10, 2016"
10676,13340,"11 28, 2016"
2411,5352,"04 17, 2015"
3861,13606,"01 15, 2016"
6357,10578,"01 31, 2015"
2470,7753,"07 4, 2016"
158,3934,"03 29, 2017"
2141,10797,"07 14, 2013"
9115,10230,"03 2, 2017"
8032,2514,"05 18, 2015"
8644,2650,"06 18, 2015"
219,329,"09 22, 2011"
360,14885,"05 17, 2012"
12105,12536,"06 9, 2016"
2317,1459,"02 23, 2013"
5740,13602,"10 18, 2013"
3342,14447,"04 16, 2018"
4034,6590,"05 30, 2016"
13210,10859,"08 7, 2014"
9201,14283,"06 13, 2017"
1365,516,"07 3, 2013"
10259,14683,"04 4, 2018"
8950,13945,"01 18, 2017"
11917,3109,"08 17, 2017"
10825,5097,"03 6, 2016"
14289,12636,"01 14, 2017"
10129,1851,"07 28, 2013"
10262,13382,"06 16, 2014"
2952,9157,"03 5, 2013"
37,4588,"08 2, 2007"
3126,967,"02 28, 2017"
4074,2645,"10 27, 2016"
14411,14865,"04 29, 2016"
895,4646,"03 21, 2008"
10728,6389,"03 16, 2017"
2149,2009,"12 17, 2009"
13772,12149,"09 19, 2017"
5123,11431,"08 6, 2015"
12727,12919,"06 18, 2017"
7461,11893,"11 19, 2017"
15297,15000,"05 31, 2018"
12063,12237,"07 27, 2015"
4300,7875,"02 27, 2017"
9649,11902,"10 15, 2015"
12324,7724,"08 30, 2015"
851,6116,"11 17, 2014"
9930,11027,"02 21, 2014"
3124,607,"06 19, 2013"
2340,2159,"01 16, 2015"
9579,10811,"07 3, 2013"
366,2896,"03 20, 2016"
7460,4557,"09 6, 2016"
9567,6199,"03 12, 2013"
554,3877,"10 17, 2006"
351,3585,"06 30, 2001"
14675,13682,"09 28, 2014"
12033,4548,"08 6, 2014"
13666,14575,"04 10, 2018"
5793,627,"06 14, 2013"
13525,9724,"08 28, 2015"
12845,4431,"12 26, 2012"
918,4990,"08 20, 2015"
5021,10009,"06 28, 2015"
13613,7634,"07 6, 2012"
980,295,"07 11, 2001"
4992,819,"02 4, 2018"
14744,10742,"05 18, 2013"
1348,1762,"01 15, 2007"
12665,7621,"03 14, 2015"
9773,1851,"11 30, 2012"
8282,10393,"05 29, 2014"
11627,2800,"02 16, 2014"
4144,2427,"10 4, 2017"
32,13869,"12 14, 2013"
8244,14255,"10 15, 2015"
2160,11950,"06 6, 2017"
3409,994,"01 19, 2016"
3047,4034,"03 30, 2015"
6921,750,"10 27, 2013"
4130,4531,"03 6, 2016"
7336,7965,"03 3, 2014"
3090,7435,"05 11, 2015"
