uid,iid,title,item_summary,item_metadata_text,reference,baseline_moe_6250_prediction,mlp_50k_prediction,baseline_moe_6250_adapter_type,mlp_50k_adapter_type,baseline_moe_6250_run_tag,mlp_50k_run_tag,baseline_moe_6250_word_count,mlp_50k_word_count,reference_word_count,present_in_left,present_in_right
31,6053,"204 Rosewood Lane (Cedar Cove, Book 2)","Fans of romance novels and book club members would enjoy 204 Rosewood Lane. It is a bestselling romance novel, perfect for those seeking a heartwarming and captivating love story.","204 Rosewood Lane (Cedar Cove, Book 2). Fans of romance novels and book club members would enjoy 204 Rosewood Lane. It is a bestselling romance novel, perfect for those seeking a heartwarming and captivating love story.","The user would buy ""204 Rosewood Lane"" because they found it to be an improvement from the first book in the series, with more realistic characters, increased emotional depth, and a more interesting plot. Despite some commonalities with other Debbie Macomber books, they appreciated the departure from the normal formula and were left curious about what comes next.","The user would buy ""204 Rosewood Lane"" because it offers a captivating and heartwarming love story with a unique twist, set in a picturesque town with lovable characters. The user is drawn to the romance and the intriguing mystery, making it a compelling read for those who enjoy lighthearted romance with a touch of mystery.[//INST] The user would buy ""204 Rosewood Lane"" because they are a fan of Debbie Macomber and enjoy her work. They appreciate the book's lighthearted and uplifting nature,","""The user would buy the book because they enjoy the Cedar Cove series and want to continue the story of Olivia and Jack, following their journey as they navigate their relationship and the challenges that come with it.""",moe,mlp,baseline_moe_6250,mlp_50k,82,38,58,True,True
31,9902,Winter's Destiny (Volume 1),Nature enthusiasts and those who appreciate the beauty and power of the ocean will enjoy Winter's Destiny (Volume 1).,Winter's Destiny (Volume 1). Nature enthusiasts and those who appreciate the beauty and power of the ocean will enjoy Winter's Destiny (Volume 1).,"The user would buy the book because it offers a gripping plot, strong and well-developed characters, and a compelling protagonist that breaks traditional stereotypes. The book keeps the reader engaged, eagerly turning the pages to uncover the story's thrilling conclusion.","The user would buy the book because it offers a compelling and intriguing story with a unique twist, a well-developed plot, and engaging characters. The book","""The user would buy the book because it offers a captivating story of a young woman's journey to find her true identity and purpose, with a unique and intriguing setting that immerses the reader in the world of the characters.",moe,mlp,baseline_moe_6250,mlp_50k,26,40,40,True,True
31,10809,The Storm and the Darkness: The House of Crimson &amp; Clover Series Prequel (The House of Crimson and Clover),Fans of modern Gothic fiction and psychological insight would enjoy 'The Storm and the Darkness: The House of Crimson & Clover Series Prequel'. The impeccable pacing and atmospheric writing make it a captivating read.,The Storm and the Darkness: The House of Crimson &amp; Clover Series Prequel (The House of Crimson and Clover). Fans of modern Gothic fiction and psychological insight would enjoy 'The Storm and the Darkness: The House of Crimson & Clover Series Prequel'. The impeccable pacing and atmospheric writing make it a captivating read.,"The user would buy the book because it offers a captivating and masterfully crafted story that allows the reader to build a deep connection with the characters, accompanied by skilled pacing and language use that keeps them engaged and eager to continue reading, making it a truly memorable and satisfying literary experience.","The user would buy ""The Storm and the Darkness"" because it offers a thrilling and suspenseful prequel to the ""House of Crimson and Clover"" series, providing a deeper understanding of the characters and their motivations, and offering a satisfying and engaging reading experience.","""The user would buy the book because it offers a gripping and emotional story that explores the darkness and complexity of human nature, with a strong focus on the characters' relationships and the struggle for survival in a dangerous world. The book's themes of loss, love, and resilience resonate with readers."" Despite the lack of clarity, the user would likely buy the book because it offers a captivating story with relatable characters, a gripping plot, and an emotional journey that explores the darker aspects of human nature, making it a compelling read",moe,mlp,baseline_moe_6250,mlp_50k,43,92,52,True,True
32,5571,Intimate Enemies,Fans of sexy romantic suspense with a touch of paranormal will enjoy 'Intimate Enemies',Intimate Enemies. Fans of sexy romantic suspense with a touch of paranormal will enjoy 'Intimate Enemies',"The user would buy the book because it offers a thrilling mix of suspense and romance, with compelling and impulsive characters like Cassie and Rio, and an enticing narrative style that includes perspectives from both protagonists and the antagonist. The steamy bedroom scenes and engaging audiobook narration also contribute to the book's appeal.","[User] The user would buy the book because they enjoy the series and are invested in the characters, particularly the main character, Avery. They appreciate the strong female lead and the suspenseful storyline, and are eager to continue reading the series to see how Avery's story unfolds.[/User] The user would buy the book because they enjoy the series and are invested in the characters, particularly the main character, Avery. They appreciate the strong female lead and the suspenseful storyline, and are eager to continue reading the series to see how Avery's story unfolds.","""The user would buy the book because they enjoy a well-written, engaging story with complex characters and a gripping plot. They appreciate the author's ability to create a compelling narrative with unexpected twists and turns, and they are eager to continue the series.""",moe,mlp,baseline_moe_6250,mlp_50k,93,43,53,True,True
32,7518,The Annihilation of Foreverland,Fans of dystopian and science fiction novels with a touch of mystery and intrigue would enjoy The Annihilation of Foreverland.,The Annihilation of Foreverland. Fans of dystopian and science fiction novels with a touch of mystery and intrigue would enjoy The Annihilation of Foreverland.,"The user would buy the book because they are a big fan of the author's work, enjoy the creative world building and unexpected twists in the story, appreciate the narrator's performance, and value the detailed and richly textured plot provided by Tony Bertauski.","The user would buy the book because it offers a gripping and thought-provoking story with a strong focus on the importance of individuality and freedom, as well as the consequences of blind ob","""The user would buy the book because they are captivated by the intricate and well-developed world-building, and they appreciate the author's skill in crafting a story that keeps them engaged and invested in the characters' journeys.""",moe,mlp,baseline_moe_6250,mlp_50k,33,36,43,True,True
32,10637,Playing Patience (Blow Hole Boys),Fans of saucy romances and audiobooks narrated by Tatiana Sokolov would enjoy Playing Patience (Blow Hole Boys),Playing Patience (Blow Hole Boys). Fans of saucy romances and audiobooks narrated by Tatiana Sokolov would enjoy Playing Patience (Blow Hole Boys),"The user would buy the book because they enjoy emotionally intense and steamy romances featuring flawed but compelling characters, and appreciate the well-written mixed narrative style with alternating points of view. The book's ability to evoke strong emotions and provide a cathartic experience is also highly appealing to the user.","The user would buy the book because it offers a compelling story of personal growth, complex characters, and unexpected twists, making it a page-turner that is hard to put down. The review highlights the book's ability to keep the reader engaged and interested, with a satisfying conclusion and a cliffhanger ending that leaves the reader eager for more.",,moe,mlp,baseline_moe_6250,mlp_50k,58,0,50,True,True
32,10808,Whiskey for Breakfast (Addison Holmes) (Volume 3),"Fans of mystery and romance genres who enjoy witty dialogue, steamy sex, and happily-ever-afters would enjoy this book.","Whiskey for Breakfast (Addison Holmes) (Volume 3). Fans of mystery and romance genres who enjoy witty dialogue, steamy sex, and happily-ever-afters would enjoy this book.","The user would buy the book because the series features an endearing and relatable protagonist, entertaining supporting characters, and a captivating romantic tension. The engaging narrative, lively Southern setting, and skillful narration add to the appeal. Despite some flaws, the book promises to be a guilty pleasure with an addictive storyline and a cliffhanger ending.","[User] The user would buy the book because they enjoy the suspenseful mystery and the witty banter between the characters, as well as the romantic subplots. They also appreciate the author's ability to create a sense of unease and danger, making the book a thrilling read.[/User] The user would buy the book because they love the series and are invested in the characters, despite some disappointment with the storyline. They appreciate the author's ability to create suspense and intrigue, and look forward to the next installment in the series.","""The user would buy the book because it offers a captivating mystery and romance story with a strong female protagonist who is not afraid to take charge. The storyline is engaging and unpredictable, with unexpected twists and turns that keep the reader on the edge of their",moe,mlp,baseline_moe_6250,mlp_50k,89,47,55,True,True
33,14856,"Purpose-driven Life [Paperback]  by Warren        , Rick",This book would appeal to users who are interested in personal growth and finding purpose in life.,"Purpose-driven Life [Paperback]  by Warren        , Rick. This book would appeal to users who are interested in personal growth and finding purpose in life.","The user would buy this book because it aligns with their deep spiritual beliefs and resonates with their understanding of Christianity and the teachings of Jesus, encouraging them to seek a more expansive and loving view of their faith.","The user would buy the book because they are looking for a deeper understanding of their purpose in life, and are interested in learning how to live a life that has a purpose. They are also drawn to the book's focus on discovering one's purpose, and the idea of living a life that has a purpose.[//INST] The user would buy the book because they are seeking a deeper understanding of their purpose in life and are interested in learning how to live a life that has a purpose. They are also drawn to the book's focus on discovering one's purpose and the idea of living a life that","The user would buy the book because it provides a comprehensive and practical guide to finding one's purpose in life, with a focus on personal growth, fulfillment, and the importance of relationships. The book's emphasis on prayer and the power of God makes it a compelling and",moe,mlp,baseline_moe_6250,mlp_50k,108,47,39,True,True
36,740,Born of Illusion,Fans of historical fiction and supernatural romance novels with strong character development will enjoy Born of Illusion.,Born of Illusion. Fans of historical fiction and supernatural romance novels with strong character development will enjoy Born of Illusion.,"The user would buy the book because it combines the elements of young adult fiction, magic, mystery, and adventure, reminiscent of the Twilight series and the works of Lois Duncan. The book's captivating storyline, enjoyable characters, and magical setting make it a fantastic addition to their collection of re-readable young adult books.","The user would buy ""Born of Illusion"" because it offers a unique blend of historical and paranormal elements, with well-developed characters, an engaging plot, and a captivating setting. The book's exploration of the supernatural and the historical events of the Titanic sinking, along with the romantic subplot, make it a compelling and enjoyable read for the user.[//INST] The user would buy ""Born of Illusion"" because it offers a captivating story of magic, mystery, and adventure, with well-developed characters and","""The user would buy the book because they enjoy magical realism, and Born of Illusion delivers on that front. The author's unique writing style and the blending of different genres make the book stand out.",moe,mlp,baseline_moe_6250,mlp_50k,79,35,52,True,True
36,1988,A Triple Knot: A Novel,"History lovers, fans of medieval fiction and those interested in the Plantagenet era would enjoy 'A Triple Knot: A Novel'","A Triple Knot: A Novel. History lovers, fans of medieval fiction and those interested in the Plantagenet era would enjoy 'A Triple Knot: A Novel'","The user would buy the book because they are an avid fan of historical fiction and were instantly swept up into the story, loving the historical detail and accuracy. They were hooked from the first few pages and found it easy to follow, making it a fabulous read to curl up with.","The user would buy ""A Triple Knot"" because it offers a well-written, engaging, and historically accurate portrayal of the Plantagenet family and their complex relationships, with vivid descriptions of the medieval era","""The user would buy the book because it offers a fascinating blend of historical facts and imaginative storytelling, set in the intriguing world of the Plantagenets. The author's ability to weave together historical details",moe,mlp,baseline_moe_6250,mlp_50k,32,34,52,True,True
37,2331,False Impression,Fans of leisurely paced thriller novels that incorporate historical events may enjoy False Impression.,False Impression. Fans of leisurely paced thriller novels that incorporate historical events may enjoy False Impression.,"The user would buy the book for its fast-paced thriller plot, despite its glitches, as it keeps them engaged and unable to put it down until the end.","""The user would buy the book because it offers a compelling and engaging legal thriller with unexpected twists and turns, making it a page-turner that keeps the reader guessing until the end.""[/INST/INST] The user would buy the book because it provides a gripping legal thriller with a unique plot, unexpected twists, and a strong sense of justice, making it a compelling read with a satisfying conclusion.","Despite the user's initial hesitation, they would ultimately buy the book because of its intriguing plot, well-developed characters, and unexpected twists and turns. The book's ability to keep the user",moe,mlp,baseline_moe_6250,mlp_50k,66,30,28,True,True
46,4661,"Iron Kissed (Mercy Thompson, Book 3)","Fans of paranormal mysteries with strong female protagonists and intricate world-building would enjoy Iron Kissed (Mercy Thompson, Book 3)","Iron Kissed (Mercy Thompson, Book 3). Fans of paranormal mysteries with strong female protagonists and intricate world-building would enjoy Iron Kissed (Mercy Thompson, Book 3)","The user would buy the book because it is a captivating urban fantasy series with great plots, edge-of-your-seat drama, and intriguing tension between the main characters. The book has left a lasting impression on the user, who considers it a ""keeper"" and ""a reread,"" indicating its high quality and reusability.","The user would buy the book because they enjoy the Mercy Thompson series, appreciate the author's unique take on the werewolf genre, and appreciate the growth and development of the characters, especially the romantic subplot between Mercy and Adam.[/INST/INST] The user would buy the book because they enjoy the Mercy Thompson series and appreciate the author's unique take on the werewolf genre, as well as the growth and development of the characters, particularly the romantic subplot between Mercy and Adam. They also appreciate the realistic and well-written dialogue, and the fact that the series is","Implying that the user would continue to support the author's work and appreciate their ability to create a captivating world and characters, despite any minor flaws, the user would buy the book because they enjoy the series and appreciate the author'",moe,mlp,baseline_moe_6250,mlp_50k,95,41,50,True,True
47,1118,Why Not Me?,This book would appeal to readers who enjoy personal memoirs and self-reflective stories.,Why Not Me?. This book would appeal to readers who enjoy personal memoirs and self-reflective stories.,"The user would buy the book because it provides a powerful message about embracing individuality and authenticity, with the author sharing her own experiences and providing insight on overcoming challenges. It also offers a humorous and relatable perspective on success, making it a compelling read for anyone seeking inspiration and self-acceptance.","The user would buy the book because it offers a thought-provoking and inspiring story of resilience, hope, and personal growth, with a focus on the importance of never giving up. The book's relatable narrative and engaging","""Why Not Me?"" by Greg Olsen is a heartwarming and inspiring story of resilience, hope, and the power of the human spirit. It is a must-read for anyone seeking to overcome adversity and find the strength to move forward, with a message that is both uplifting and thought-provoking.[1] Despite the challenges faced by the author, the book offers a compelling and moving story of resilience, hope, and the power of the human spirit, making it a must-read for anyone seeking inspiration and motivation in their lives.[2",moe,mlp,baseline_moe_6250,mlp_50k,36,86,51,True,True
48,3867,Boomerang: Travels in the New Third World,Readers who are interested in understanding the fiscal recklessness behind Europe's debt crisis and its global implications would enjoy this book.,Boomerang: Travels in the New Third World. Readers who are interested in understanding the fiscal recklessness behind Europe's debt crisis and its global implications would enjoy this book.,"The user would buy the book ""Boomerang"" because it provides a carefully researched inside story about an imminent financial meltdown involving world governments, offering a chilling perspective and a more generic discussion than the 2008 market crash, ultimately making it a good and eye-opening read.","The user would buy ""The Next Great Transition"" because it provides a fascinating and well-researched exploration of the current state of the world","Despite the user's initial skepticism, the book offers a unique perspective on the global economic crisis, providing a detailed analysis of the causes and consequences of the crisis, as well as potential solutions and future implications. The book is a valuable resource for anyone seeking to understand the complexities of the crisis, making",moe,mlp,baseline_moe_6250,mlp_50k,23,53,45,True,True
48,5207,A Column of Fire (Kingsbridge),"Fans of historical epics with adventure, suspense, and detailed historical settings would enjoy 'A Column of Fire'","A Column of Fire (Kingsbridge). Fans of historical epics with adventure, suspense, and detailed historical settings would enjoy 'A Column of Fire'","The user would buy the book ""A Column of Fire"" because it offers a captivating blend of historical accuracy, engaging storytelling, and rich character development set against the backdrop of turbulent historical events, making it an informative and compelling read.","The user would buy the book ""A Column of Fire"" because it offers a captivating and well-researched portrayal of the 16th century,","""The user would buy the book because they enjoy epic historical novels with a focus on the lives of ordinary people during the turbulent times of the English Civil War, including the intriguing characters of the Tudors, the adventures of the sea, and the challenges of the Catholic Church.""",moe,mlp,baseline_moe_6250,mlp_50k,22,49,40,True,True
57,15230,The Lost World,Fans of dinosaurs and adventure will enjoy The Lost World.,The Lost World. Fans of dinosaurs and adventure will enjoy The Lost World.,"The user would buy the book because it offers a modern twist on the rise of zoological sciences and the mystery of South America in the early 20th century, combined with elements of a love story, an old grouch character, and a hardy adventurer, creating a compelling and fascinating historical depiction.","The user would buy ""The Lost World"" because it offers a unique and thrilling adventure, with a new and exciting story that is different from the original ""Jurassic Park."" The user appreciates",,moe,mlp,baseline_moe_6250,mlp_50k,32,0,51,True,True
65,3556,Cold Mountain,Fans of historical fiction and epic love stories would enjoy this book.,Cold Mountain. Fans of historical fiction and epic love stories would enjoy this book.,"The user would buy the book because it presents an impressive and rich reading experience, filled with intimate detail and vivid descriptions of a journey unlike any other in literature. The novel's inexorably haunting quality and the force of the writing will literally blow the reader away, providing a poignant and unforgettable reading experience.","The user would buy ""Cold Mountain"" because they are drawn to historical fiction and the story of a man's journey from war to home. They appreciate the author's ability to weave a compelling narrative, the vivid portrayal of the Civil War, and the exploration of the","The user would buy the book ""Cold Mountain"" because it is a well-written, engaging, and thought-provoking story that explores the themes of love, loss, and redemption. The book's unique narrative structure and poetic language make it a standout work, and the user is eager to continue the story and explore the characters' development.[/INST/INST] The user would buy the book ""Cold Mountain"" because of its unique narrative structure, poetic language, and exploration of themes such as love, loss, and redemption. The book",moe,mlp,baseline_moe_6250,mlp_50k,46,81,54,True,True
65,3571,Ava's Man,"Fans of memoirs and biographies, especially those interested in the American South and working-class culture, would enjoy 'Ava's Man' by Rick Bragg.","Ava's Man. Fans of memoirs and biographies, especially those interested in the American South and working-class culture, would enjoy 'Ava's Man' by Rick Bragg.","The user would buy the book because it offers a compelling and inspiring portrayal of life in the Deep South, showcasing resilience, love, and the indomitable human spirit through the captivating storytelling of a man who faced hardship with determination and love for his family.","The user would buy ""Ava's Man"" because they are captivated by the author's storytelling style and the richly detailed portrayal of the App","The user would buy the book because it offers a moving and poignant account of a son's search for his father's identity, exploring themes of family, legacy, and the power",moe,mlp,baseline_moe_6250,mlp_50k,23,30,45,True,True
71,1324,Lord of the Flies,Fans of dystopian novels and psychological thrillers would enjoy Lord of the Flies.,Lord of the Flies. Fans of dystopian novels and psychological thrillers would enjoy Lord of the Flies.,"The user would buy ""Lord of the Flies"" audiobook because of their interest in experiencing a fresh take on the classic, sparked by the vigorous debate it inspired in their high school English class and their curiosity to see how their response to the book may have changed since then.","The user would buy ""Lord of the Flies"" because it is a thought-provoking and impactful novel that explores the nature of humanity, morality, and the effects","""The user would buy the book because they value the exploration of human nature, the dynamics of power, and the psychological aspects of human behavior. The book offers a thought-provoking and intense experience, leaving the reader with a lasting impact.""",moe,mlp,baseline_moe_6250,mlp_50k,26,40,50,True,True
75,1812,The Language of Flowers,"Fans of emotional and heartfelt stories about love, family, and personal growth would enjoy ""The Language of Flowers"".","The Language of Flowers. Fans of emotional and heartfelt stories about love, family, and personal growth would enjoy ""The Language of Flowers"".","The user would buy the book because it offers a compelling and emotional story of resilience and growth as Victoria navigates her way through the challenges of a damaged childhood and finds solace in the language of flowers, making it a memorable and uplifting summer read with an added bonus of Victoria's Dictionary of Flowers.",The user would buy the book because they are drawn to stories that explore the intricate relationships between characters and the symbolism of flowers in conveying emotions. They appreciate the author's ability to create a captivating narrative that delves into the complexities of human connections and the power of language to express emotions.[//,"The user would buy the book because it offers a captivating and emotional story of a young girl's journey from foster care to a new home, filled with vivid descriptions of flowers and their symbolism, and a gripping narrative that will keep readers engaged until the end.[1][2] The user would buy the book because it offers a heartwarming and inspiring story of a young girl's resilience and hope, and the beauty of the language of flowers. The book's unique perspective on the foster care system and the symbolism of flowers make it",moe,mlp,baseline_moe_6250,mlp_50k,53,92,55,True,True
77,230,The Wizard of Oz,Fans of fantasy and adventure novels will enjoy The Wizard of Oz.,The Wizard of Oz. Fans of fantasy and adventure novels will enjoy The Wizard of Oz.,"The user would buy the book to experience the magical elements and additional character development that are not present in the much-viewed movie. The review highlights the book's unique perspective on the Tin Man and the flying monkeys, emphasizing the value of reading alongside watching the film for a complete experience.",The user would buy the book because they enjoyed the original story of The Wizard of Oz as a child and appreciated the opportunity to revisit the classic tale in a new format. They also appreciated the author's ability to create a compelling narrative with a strong message about the importance of courage and the power of belief.[//INST] The user would buy the book because they were captivated by the original story of The Wizard of Oz and appreciated the opportunity to experience it in a new format. They also enjoyed the author's ability to create a compelling narrative with a strong message about the,,moe,mlp,baseline_moe_6250,mlp_50k,105,0,51,True,True
77,1280,PERFUME.,"Users who enjoy dark and psychological thrillers would appreciate this book, as it delves into the twisted mind of the protagonist and explores themes of obsession, isolation, and ambition.","PERFUME.. Users who enjoy dark and psychological thrillers would appreciate this book, as it delves into the twisted mind of the protagonist and explores themes of obsession, isolation, and ambition.","The user would buy the book because they are drawn to the portrayal of 18th century France, the remarkable olfactory sense of the protagonist, and the complex moral questions raised by the narrative, all of which are skillfully depicted as great art.","The user would buy the book because it offers a captivating and dark portrayal of the French Middle Ages, with a unique and compelling protagonist, a well-written narrative,","""The user would buy the book because it is a captivating and thought-provoking story that explores the dark side of obsession, ambition, and the power of scent. Despite the unsettling nature of the story, the user found it to be a compelling and engaging read.""",moe,mlp,baseline_moe_6250,mlp_50k,28,45,42,True,True
